"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","UNEMP","TOT","PC_LF","A","2016",8.811286,
"FIN","UNEMP","TOT","PC_LF","A","2017",8.63445,
"FRA","UNEMP","TOT","PC_LF","A","2013",9.921325,"B"
"FRA","UNEMP","TOT","PC_LF","A","2014",10.29171,
"FRA","UNEMP","TOT","PC_LF","A","2015",10.35981,
"FRA","UNEMP","TOT","PC_LF","A","2016",10.05661,
"FRA","UNEMP","TOT","PC_LF","A","2017",9.398605,
"DEU","UNEMP","TOT","PC_LF","A","2013",5.231962,
"DEU","UNEMP","TOT","PC_LF","A","2014",4.981592,
"DEU","UNEMP","TOT","PC_LF","A","2015",4.624955,
"DEU","UNEMP","TOT","PC_LF","A","2016",4.122733,
"DEU","UNEMP","TOT","PC_LF","A","2017",3.746631,
"GRC","UNEMP","TOT","PC_LF","A","2013",27.46715,
"GRC","UNEMP","TOT","PC_LF","A","2014",26.49027,
"GRC","UNEMP","TOT","PC_LF","A","2015",24.90084,
"GRC","UNEMP","TOT","PC_LF","A","2016",23.54104,
"GRC","UNEMP","TOT","PC_LF","A","2017",21.48901,
"HUN","UNEMP","TOT","PC_LF","A","2013",10.18524,
"HUN","UNEMP","TOT","PC_LF","A","2014",7.728486,
"HUN","UNEMP","TOT","PC_LF","A","2015",6.817803,
"HUN","UNEMP","TOT","PC_LF","A","2016",5.119285,
"HUN","UNEMP","TOT","PC_LF","A","2017",4.157162,
"ISL","UNEMP","TOT","PC_LF","A","2013",5.381035,
"ISL","UNEMP","TOT","PC_LF","A","2014",4.890404,
"ISL","UNEMP","TOT","PC_LF","A","2015",3.966664,
"ISL","UNEMP","TOT","PC_LF","A","2016",2.968629,
"ISL","UNEMP","TOT","PC_LF","A","2017",2.743788,
"IRL","UNEMP","TOT","PC_LF","A","2013",13.74729,
"IRL","UNEMP","TOT","PC_LF","A","2014",11.86002,
"IRL","UNEMP","TOT","PC_LF","A","2015",9.906131,
"IRL","UNEMP","TOT","PC_LF","A","2016",8.36801,
"IRL","UNEMP","TOT","PC_LF","A","2017",6.711794,"B"
"ITA","UNEMP","TOT","PC_LF","A","2013",12.14521,
"ITA","UNEMP","TOT","PC_LF","A","2014",12.6798,
"ITA","UNEMP","TOT","PC_LF","A","2015",11.89388,
"ITA","UNEMP","TOT","PC_LF","A","2016",11.68803,
"ITA","UNEMP","TOT","PC_LF","A","2017",11.21117,
"JPN","UNEMP","TOT","PC_LF","A","2013",4.025,
"JPN","UNEMP","TOT","PC_LF","A","2014",3.591667,
"JPN","UNEMP","TOT","PC_LF","A","2015",3.375,
"JPN","UNEMP","TOT","PC_LF","A","2016",3.116667,
"JPN","UNEMP","TOT","PC_LF","A","2017",2.808333,
"KOR","UNEMP","TOT","PC_LF","A","2013",3.1,
"KOR","UNEMP","TOT","PC_LF","A","2014",3.491667,
"KOR","UNEMP","TOT","PC_LF","A","2015",3.591667,
"KOR","UNEMP","TOT","PC_LF","A","2016",3.675,
"KOR","UNEMP","TOT","PC_LF","A","2017",3.683333,
"LUX","UNEMP","TOT","PC_LF","A","2013",5.836521,
"LUX","UNEMP","TOT","PC_LF","A","2014",5.854882,"B"
"LUX","UNEMP","TOT","PC_LF","A","2015",6.658826,
"LUX","UNEMP","TOT","PC_LF","A","2016",6.285928,
"LUX","UNEMP","TOT","PC_LF","A","2017",5.516146,
"MEX","UNEMP","TOT","PC_LF","A","2013",4.943339,
"MEX","UNEMP","TOT","PC_LF","A","2014",4.831354,
"MEX","UNEMP","TOT","PC_LF","A","2015",4.336035,
"MEX","UNEMP","TOT","PC_LF","A","2016",3.88518,
"MEX","UNEMP","TOT","PC_LF","A","2017",3.438001,
"NLD","UNEMP","TOT","PC_LF","A","2013",7.242696,
"NLD","UNEMP","TOT","PC_LF","A","2014",7.416319,
"NLD","UNEMP","TOT","PC_LF","A","2015",6.87228,
"NLD","UNEMP","TOT","PC_LF","A","2016",6.00791,
"NLD","UNEMP","TOT","PC_LF","A","2017",4.840418,
"NZL","UNEMP","TOT","PC_LF","A","2013",5.75,
"NZL","UNEMP","TOT","PC_LF","A","2014",5.375,
"NZL","UNEMP","TOT","PC_LF","A","2015",5.35,
"NZL","UNEMP","TOT","PC_LF","A","2016",5.1,
"NZL","UNEMP","TOT","PC_LF","A","2017",4.7,
"NOR","UNEMP","TOT","PC_LF","A","2013",3.422888,
"NOR","UNEMP","TOT","PC_LF","A","2014",3.484511,
"NOR","UNEMP","TOT","PC_LF","A","2015",4.295396,
"NOR","UNEMP","TOT","PC_LF","A","2016",4.677024,
"NOR","UNEMP","TOT","PC_LF","A","2017",4.162159,
"POL","UNEMP","TOT","PC_LF","A","2013",10.32862,
"POL","UNEMP","TOT","PC_LF","A","2014",8.990872,
"POL","UNEMP","TOT","PC_LF","A","2015",7.50308,
"POL","UNEMP","TOT","PC_LF","A","2016",6.161703,
"POL","UNEMP","TOT","PC_LF","A","2017",4.887239,
"PRT","UNEMP","TOT","PC_LF","A","2013",16.1838,
"PRT","UNEMP","TOT","PC_LF","A","2014",13.89509,
"PRT","UNEMP","TOT","PC_LF","A","2015",12.44469,
"PRT","UNEMP","TOT","PC_LF","A","2016",11.06846,
"PRT","UNEMP","TOT","PC_LF","A","2017",8.870407,
"SVK","UNEMP","TOT","PC_LF","A","2013",14.22133,
"SVK","UNEMP","TOT","PC_LF","A","2014",13.18428,
"SVK","UNEMP","TOT","PC_LF","A","2015",11.48227,
"SVK","UNEMP","TOT","PC_LF","A","2016",9.671689,
"SVK","UNEMP","TOT","PC_LF","A","2017",8.130965,
"ESP","UNEMP","TOT","PC_LF","A","2013",26.0919,
"ESP","UNEMP","TOT","PC_LF","A","2014",24.44284,
"ESP","UNEMP","TOT","PC_LF","A","2015",22.05655,
"ESP","UNEMP","TOT","PC_LF","A","2016",19.63388,
"ESP","UNEMP","TOT","PC_LF","A","2017",17.22489,
"SWE","UNEMP","TOT","PC_LF","A","2013",8.052903,
"SWE","UNEMP","TOT","PC_LF","A","2014",7.955972,
"SWE","UNEMP","TOT","PC_LF","A","2015",7.432082,
"SWE","UNEMP","TOT","PC_LF","A","2016",6.991096,
"SWE","UNEMP","TOT","PC_LF","A","2017",6.718704,
"CHE","UNEMP","TOT","PC_LF","A","2013",4.746688,
"CHE","UNEMP","TOT","PC_LF","A","2014",4.829303,
"CHE","UNEMP","TOT","PC_LF","A","2015",4.80018,
"CHE","UNEMP","TOT","PC_LF","A","2016",4.918711,
"CHE","UNEMP","TOT","PC_LF","A","2017",4.797114,
"TUR","UNEMP","TOT","PC_LF","A","2013",8.740033,"B"
"TUR","UNEMP","TOT","PC_LF","A","2014",9.883171,
"TUR","UNEMP","TOT","PC_LF","A","2015",10.24497,
"TUR","UNEMP","TOT","PC_LF","A","2016",10.83812,
"TUR","UNEMP","TOT","PC_LF","A","2017",10.83303,
"GBR","UNEMP","TOT","PC_LF","A","2013",7.525889,
"GBR","UNEMP","TOT","PC_LF","A","2014",6.111351,
"GBR","UNEMP","TOT","PC_LF","A","2015",5.301934,
"GBR","UNEMP","TOT","PC_LF","A","2016",4.813419,
"GBR","UNEMP","TOT","PC_LF","A","2017",4.335138,
"USA","UNEMP","TOT","PC_LF","A","2013",7.375,
"USA","UNEMP","TOT","PC_LF","A","2014",6.166667,
"USA","UNEMP","TOT","PC_LF","A","2015",5.291667,
"USA","UNEMP","TOT","PC_LF","A","2016",4.866667,
"USA","UNEMP","TOT","PC_LF","A","2017",4.35,
"BRA","UNEMP","TOT","PC_LF","A","2013",5.400495,
"BRA","UNEMP","TOT","PC_LF","A","2014",4.851514,
"CHL","UNEMP","TOT","PC_LF","A","2013",5.932378,
"CHL","UNEMP","TOT","PC_LF","A","2014",6.391404,
"CHL","UNEMP","TOT","PC_LF","A","2015",6.213719,
"CHL","UNEMP","TOT","PC_LF","A","2016",6.490013,
"CHL","UNEMP","TOT","PC_LF","A","2017",6.673688,
"EST","UNEMP","TOT","PC_LF","A","2013",8.631536,
"EST","UNEMP","TOT","PC_LF","A","2014",7.355543,
"EST","UNEMP","TOT","PC_LF","A","2015",6.191967,
"EST","UNEMP","TOT","PC_LF","A","2016",6.753039,
"EST","UNEMP","TOT","PC_LF","A","2017",5.762793,
"IDN","UNEMP","TOT","PC_LF","A","2013",6.03,
"IDN","UNEMP","TOT","PC_LF","A","2014",5.82,
"IDN","UNEMP","TOT","PC_LF","A","2015",6,
"ISR","UNEMP","TOT","PC_LF","A","2013",6.208333,
"ISR","UNEMP","TOT","PC_LF","A","2014",5.908333,
"ISR","UNEMP","TOT","PC_LF","A","2015",5.241667,
"ISR","UNEMP","TOT","PC_LF","A","2016",4.808333,
"ISR","UNEMP","TOT","PC_LF","A","2017",4.216667,
"RUS","UNEMP","TOT","PC_LF","A","2013",5.485319,
"RUS","UNEMP","TOT","PC_LF","A","2014",5.1575,
"RUS","UNEMP","TOT","PC_LF","A","2015",5.568395,
"RUS","UNEMP","TOT","PC_LF","A","2016",5.53882,
"RUS","UNEMP","TOT","PC_LF","A","2017",5.212452,
"SVN","UNEMP","TOT","PC_LF","A","2013",10.10859,
"SVN","UNEMP","TOT","PC_LF","A","2014",9.673278,
"SVN","UNEMP","TOT","PC_LF","A","2015",8.962607,
"SVN","UNEMP","TOT","PC_LF","A","2016",8.006598,
"SVN","UNEMP","TOT","PC_LF","A","2017",6.569075,
"ZAF","UNEMP","TOT","PC_LF","A","2013",24.725,
"ZAF","UNEMP","TOT","PC_LF","A","2014",25.1,
"ZAF","UNEMP","TOT","PC_LF","A","2015",25.35,
"ZAF","UNEMP","TOT","PC_LF","A","2016",26.725,
"ZAF","UNEMP","TOT","PC_LF","A","2017",27.45,
"EU28","UNEMP","TOT","PC_LF","A","2013",10.82186,
"EU28","UNEMP","TOT","PC_LF","A","2014",10.21119,
"EU28","UNEMP","TOT","PC_LF","A","2015",9.394428,
"EU28","UNEMP","TOT","PC_LF","A","2016",8.540202,
"EU28","UNEMP","TOT","PC_LF","A","2017",7.622399,
"OECD","UNEMP","TOT","PC_LF","A","2013",7.876304,"B"
"OECD","UNEMP","TOT","PC_LF","A","2014",7.356262,"B"
"OECD","UNEMP","TOT","PC_LF","A","2015",6.770265,"B"
"OECD","UNEMP","TOT","PC_LF","A","2016",6.327938,"B"
"OECD","UNEMP","TOT","PC_LF","A","2017",5.768601,"B"
"EA19","UNEMP","TOT","PC_LF","A","2013",11.94234,
"EA19","UNEMP","TOT","PC_LF","A","2014",11.60459,
"EA19","UNEMP","TOT","PC_LF","A","2015",10.84458,
"EA19","UNEMP","TOT","PC_LF","A","2016",10.01066,
"EA19","UNEMP","TOT","PC_LF","A","2017",9.043605,
"COL","UNEMP","TOT","PC_LF","A","2013",9.705833,
"COL","UNEMP","TOT","PC_LF","A","2014",9.166667,
"COL","UNEMP","TOT","PC_LF","A","2015",8.960834,
"COL","UNEMP","TOT","PC_LF","A","2016",9.274167,
"COL","UNEMP","TOT","PC_LF","A","2017",9.425834,
"LVA","UNEMP","TOT","PC_LF","A","2013",11.8683,
"LVA","UNEMP","TOT","PC_LF","A","2014",10.84309,
"LVA","UNEMP","TOT","PC_LF","A","2015",9.875636,
"LVA","UNEMP","TOT","PC_LF","A","2016",9.641258,
"LVA","UNEMP","TOT","PC_LF","A","2017",8.716354,
"LTU","UNEMP","TOT","PC_LF","A","2013",11.77156,
"LTU","UNEMP","TOT","PC_LF","A","2014",10.69969,
"LTU","UNEMP","TOT","PC_LF","A","2015",9.119895,
"LTU","UNEMP","TOT","PC_LF","A","2016",7.860914,
"LTU","UNEMP","TOT","PC_LF","A","2017",7.07182,
